scene	unset	set	delta	mae_unset	phase_unset
1229038692	0.8878	0.8976	+0.0098	6.53	16
1264202805	0.8516	0.8505	-0.0011	5.28	5
1431235492	0.9586	0.9656	+0.0070	5.92	12
1433564192	0.8755	0.8388	-0.0367	4.89	5
1469094526	0.9594	0.9192	-0.0402	9.54	2
1537139001	0.9908	0.9941	+0.0033	1.99	0
1588298589	0.8673	0.8673	+0.0000	8.34	0
1646847449	0.9869	0.9866	-0.0003	1.94	8
1683040946	0.6880	0.6883	+0.0003	8.33	8
1773105076	0.9659	0.9625	-0.0034	1.23	8
2064316482	0.9265	0.9197	-0.0068	2.23	2
2109561442	0.9842	0.9842	+0.0000	2.34	12
2111201226	0.9645	0.9630	-0.0015	2.57	2
2114035295	0.9778	0.9749	-0.0029	2.55	16
2140101288	0.9433	0.9255	-0.0178	3.00	0
2186612524	0.9813	0.9813	+0.0000	1.44	16
2190291768	0.9799	0.9851	+0.0052	1.99	2
2219540918	0.9879	0.9856	-0.0023	0.65	5
2223651672	0.8948	0.8973	+0.0025	9.72	12
2238042939	0.5901	0.5901	+0.0000	1.20	0
2284309190	0.9953	0.9922	-0.0031	0.20	8
2303021395	0.9386	0.8966	-0.0420	2.33	5
2320743618	0.9884	0.9884	+0.0000	0.33	12
2363806159	0.9741	0.9723	-0.0018	3.48	5
2381855517	0.4890	0.4890	+0.0000	52.79	8
2420441089	0.9764	0.9620	-0.0144	2.79	16
2423807815	0.3471	0.3468	-0.0003	71.55	2
2468167360	0.9924	0.9924	+0.0000	0.47	0
2479422222	0.5913	0.5854	-0.0059	18.08	5
2487757810	0.7878	0.7878	+0.0000	7.92	0
2583077343	0.9395	0.9275	-0.0120	6.01	8
2609314022	0.9733	0.9730	-0.0003	1.19	8
2611087662	0.9205	0.9207	+0.0002	4.61	16
2636878454	0.9039	0.9039	+0.0000	11.79	5
2780446545	0.9528	0.9487	-0.0041	6.01	12
2817222811	0.6380	0.6381	+0.0001	10.09	5
2820544627	0.9531	0.9531	+0.0000	2.39	5
2829689820	0.9410	0.9244	-0.0166	7.28	8
2872509253	0.6737	0.6737	+0.0000	18.53	16
2892812454	0.9383	0.9383	+0.0000	6.46	5
2978610140	0.9931	0.9931	+0.0000	1.57	0
2996283606	0.7923	0.7923	+0.0000	8.16	0
3013169753	0.7521	0.7520	-0.0001	14.32	0
3031418765	0.9950	0.9935	-0.0015	1.12	0
3040327022	0.9677	0.9657	-0.0020	2.41	12
3115845558	0.6382	0.6262	-0.0120	25.24	5
3195212886	0.8169	0.8161	-0.0008	8.77	12
3198624623	0.9075	0.9075	+0.0000	2.80	8
3200980645	0.8959	0.8959	+0.0000	46.94	0
3239767814	0.9531	0.9531	+0.0000	1.18	5
3258032485	0.9897	0.9897	+0.0000	0.99	12
3265802028	0.6759	0.6732	-0.0027	20.52	12
3276911872	0.7211	0.7175	-0.0036	15.95	12
3291581513	0.8547	0.8544	-0.0003	9.64	0
3319713168	0.6191	0.5958	-0.0233	32.98	2
3324136043	0.6546	0.6546	+0.0000	25.76	5
3326873240	0.7227	0.7230	+0.0003	48.36	8
3330384164	0.9798	0.9705	-0.0093	1.67	16
3334481827	0.9849	0.9849	+0.0000	1.89	12
3350974549	0.9824	0.9820	-0.0004	3.93	5
3352698943	0.9693	0.9693	+0.0000	1.86	12
3353892691	0.8535	0.8526	-0.0009	3.68	12
3355037946	0.5742	0.5742	+0.0000	23.06	2
3355791741	0.7249	0.7249	+0.0000	17.59	16
3362719513	0.7142	0.7137	-0.0005	17.28	5
3372027807	0.5355	0.5357	+0.0002	17.49	2
3390491312	0.5037	0.4957	-0.0080	39.48	8
3404976219	0.7424	0.7412	-0.0012	9.32	12
3409595232	0.7816	0.7814	-0.0002	30.82	5
3418060002	0.8501	0.8500	-0.0001	5.96	2
3426865175	0.8027	0.8018	-0.0009	13.28	8
3430675494	0.7148	0.7499	+0.0351	15.64	16
3435120596	0.5181	0.5162	-0.0019	56.85	12
3436033033	0.7311	0.7307	-0.0004	11.21	5
3438420195	0.7783	0.7790	+0.0007	8.04	5
3447271084	0.7293	0.7273	-0.0020	17.04	8
3461353800	0.6349	0.6349	+0.0000	11.16	16
3470764447	0.7116	0.7114	-0.0002	34.84	8
3479521040	0.8671	0.8684	+0.0013	13.92	12
3482079065	0.9754	0.9645	-0.0109	3.56	2
3497714247	0.6061	0.6081	+0.0020	12.99	5
3528564892	0.7959	0.7959	+0.0000	23.27	0
3545444802	0.8592	0.8575	-0.0017	7.45	2
3565328165	0.7335	0.7283	-0.0052	28.33	5
3576279017	0.8755	0.8313	-0.0442	12.27	5
3577990983	0.6514	0.6484	-0.0030	22.02	8
3585875739	0.3054	0.3052	-0.0002	89.86	0
3615821365	0.7697	0.7575	-0.0122	9.22	5
3624053922	0.9788	0.9647	-0.0141	8.94	0
3627327015	0.5772	0.5681	-0.0091	22.69	8
3646049140	0.8640	0.8640	+0.0000	6.52	5
3660962877	0.3914	0.3914	+0.0000	39.20	0
3669680904	0.7552	0.7484	-0.0068	22.73	8
3675966045	0.2683	0.2692	+0.0009	57.71	2
916545283	0.6604	0.6604	+0.0000	9.54	8
947540551	0.9790	0.9731	-0.0059	5.17	5
